Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
C:\Users\Erik\RoboND-Python-StarterKit\Roversim_x86_64_Data\IMG\robocam_2018_12_20_17_28_13_808.jpg;0;0;1;0;99.73038;85.71126;0.000234926;58.74947;-3.427549E-07
C:\Users\Erik\RoboND-Python-StarterKit\Roversim_x86_64_Data\IMG\robocam_2018_12_20_17_28_13_853.jpg;15;1;0;0.02666752;99.73177;85.71422;0.07146897;58.70345;0.007954243
C:\Users\Erik\RoboND-Python-StarterKit\Roversim_x86_64_Data\IMG\robocam_2018_12_20_17_28_13_903.jpg;15;1;0;0.07337113;99.73369;85.71802;0.1605678;58.76468;0.0145087
C:\Users\Erik\RoboND-Python-StarterKit\Roversim_x86_64_Data\IMG\robocam_2018_12_20_17_28_13_953.jpg;15;1;0;0.1052804;99.73777;85.72666;0.3506101;58.80725;0.03454166
C:\Users\Erik\RoboND-Python-StarterKit\Roversim_x86_64_Data\IMG\robocam_2018_12_20_17_28_14_002.jpg;15;1;0;0.1701579;99.74171;85.73492;0.5139563;59.09331;0.03585514
C:\Users\Erik\RoboND-Python-StarterKit\Roversim_x86_64_Data\IMG\robocam_2018_12_20_17_28_14_053.jpg;15;1;0;0.1856484;99.74837;85.74953;0.7681146;59.27882;0.03014424
C:\Users\Erik\RoboND-Python-StarterKit\Roversim_x86_64_Data\IMG\robocam_2018_12_20_17_28_14_103.jpg;15;1;0;0.2389355;99.75339;85.76064;0.9402797;59.56529;0.01554735
C:\Users\Erik\RoboND-Python-StarterKit\Roversim_x86_64_Data\IMG\robocam_2018_12_20_17_28_14_153.jpg;15;1;0;0.2798828;99.76219;85.78021;1.21487;59.91795;-0.004426157
C:\Users\Erik\RoboND-Python-StarterKit\Roversim_x86_64_Data\IMG\robocam_2018_12_20_17_28_14_203.jpg;15;1;0;0.3002746;99.76761;85.79333;1.319546;60.23495;359.9942
C:\Users\Erik\RoboND-Python-StarterKit\Roversim_x86_64_Data\IMG\robocam_2018_12_20_17_28_14_254.jpg;15;1;0;0.3560651;99.77542;85.81186;1.254858;60.71;-0.004995053
C:\Users\Erik\RoboND-Python-StarterKit\Roversim_x86_64_Data\IMG\robocam_2018_12_20_17_28_14_303.jpg;15;1;0;0.4144674;99.78117;85.82563;1.177536;61.1106;-0.005424849
C:\Users\Erik\RoboND-Python-StarterKit\Roversim_x86_64_Data\IMG\robocam_2018_12_20_17_28_14_353.jpg;15;1;0;0.451529;99.79109;85.84969;1.114986;61.74841;-0.004540774
C:\Users\Erik\RoboND-Python-StarterKit\Roversim_x86_64_Data\IMG\robocam_2018_12_20_17_28_14_402.jpg;15;1;0;0.5071923;99.79863;85.86848;1.121646;62.18988;0.0003760526
C:\Users\Erik\RoboND-Python-StarterKit\Roversim_x86_64_Data\IMG\robocam_2018_12_20_17_28_14_453.jpg;15;1;0;0.5317183;99.81027;85.89881;1.149276;62.82407;0.01468322
C:\Users\Erik\RoboND-Python-StarterKit\Roversim_x86_64_Data\IMG\robocam_2018_12_20_17_28_14_503.jpg;15;1;0;0.5859776;99.81873;85.92075;1.18178;63.26717;0.01414772
C:\Users\Erik\RoboND-Python-StarterKit\Roversim_x86_64_Data\IMG\robocam_2018_12_20_17_28_14_553.jpg;15;1;0;0.5990916;99.83147;85.95506;1.199811;63.92602;0.001534648
C:\Users\Erik\RoboND-Python-StarterKit\Roversim_x86_64_Data\IMG\robocam_2018_12_20_17_28_14_603.jpg;15;1;0;0.6503476;99.84016;85.97936;1.201061;64.32317;-0.004906514
C:\Users\Erik\RoboND-Python-StarterKit\Roversim_x86_64_Data\IMG\robocam_2018_12_20_17_28_14_653.jpg;15;1;0;0.6789717;99.85339;86.01797;1.189002;65.09942;359.9939
C:\Users\Erik\RoboND-Python-StarterKit\Roversim_x86_64_Data\IMG\robocam_2018_12_20_17_28_14_710.jpg;15;1;0;0.7331455;99.86741;86.05978;1.191868;65.94337;359.9927
C:\Users\Erik\RoboND-Python-StarterKit\Roversim_x86_64_Data\IMG\robocam_2018_12_20_17_28_14_759.jpg;15;1;0;0.75602;99.87686;86.08916;1.194186;66.63117;359.9922
C:\Users\Erik\RoboND-Python-StarterKit\Roversim_x86_64_Data\IMG\robocam_2018_12_20_17_28_14_810.jpg;15;1;0;0.8122801;99.89114;86.13576;1.19436;67.6527;359.9927
C:\Users\Erik\RoboND-Python-StarterKit\Roversim_x86_64_Data\IMG\robocam_2018_12_20_17_28_14_859.jpg;15;1;0;0.8413812;99.90067;86.16851;1.196084;68.3615;359.9924
C:\Users\Erik\RoboND-Python-StarterKit\Roversim_x86_64_Data\IMG\robocam_2018_12_20_17_28_14_906.jpg;15;1;0;0.8943554;99.91508;86.22062;1.205243;69.44148;359.9922
C:\Users\Erik\RoboND-Python-StarterKit\Roversim_x86_64_Data\IMG\robocam_2018_12_20_17_28_14_956.jpg;-15;1;0;0.9043016;99.93006;86.25301;1.166605;69.04706;359.9049
C:\Users\Erik\RoboND-Python-StarterKit\Roversim_x86_64_Data\IMG\robocam_2018_12_20_17_28_15_005.jpg;-15;1;0;0.9363093;99.95451;86.30217;1.073712;68.01604;359.8142
C:\Users\Erik\RoboND-Python-StarterKit\Roversim_x86_64_Data\IMG\robocam_2018_12_20_17_28_15_055.jpg;-15;1;0;0.9792966;99.97213;86.33636;1.011064;67.39481;359.7803
C:\Users\Erik\RoboND-Python-StarterKit\Roversim_x86_64_Data\IMG\robocam_2018_12_20_17_28_15_106.jpg;-15;1;0;1.025043;100.0007;86.38925;0.9265629;66.37921;359.742
C:\Users\Erik\RoboND-Python-StarterKit\Roversim_x86_64_Data\IMG\robocam_2018_12_20_17_28_15_155.jpg;-14.06178;1;0;1.045858;100.0209;86.42533;0.8759447;65.63254;359.7219
C:\Users\Erik\RoboND-Python-StarterKit\Roversim_x86_64_Data\IMG\robocam_2018_12_20_17_28_15_205.jpg;-15;1;0;1.097895;100.0539;86.48215;0.8520343;64.58586;359.6865
C:\Users\Erik\RoboND-Python-StarterKit\Roversim_x86_64_Data\IMG\robocam_2018_12_20_17_28_15_256.jpg;-14.99756;1;0;1.125111;100.0771;86.52097;0.8448182;63.84315;359.6681
C:\Users\Erik\RoboND-Python-StarterKit\Roversim_x86_64_Data\IMG\robocam_2018_12_20_17_28_15_305.jpg;-15;1;0;1.172095;100.1145;86.58063;0.8484783;62.6329;359.6436
C:\Users\Erik\RoboND-Python-StarterKit\Roversim_x86_64_Data\IMG\robocam_2018_12_20_17_28_15_355.jpg;-15;1;0;1.203418;100.1408;86.62142;0.8522378;61.79899;359.6427
C:\Users\Erik\RoboND-Python-StarterKit\Roversim_x86_64_Data\IMG\robocam_2018_12_20_17_28_15_405.jpg;-15;1;0;1.253587;100.1826;86.68359;0.8545021;60.5132;359.6493
C:\Users\Erik\RoboND-Python-StarterKit\Roversim_x86_64_Data\IMG\robocam_2018_12_20_17_28_15_456.jpg;-13.98103;1;0;1.284738;100.2121;86.72594;0.8602247;59.66983;359.6596
C:\Users\Erik\RoboND-Python-StarterKit\Roversim_x86_64_Data\IMG\robocam_2018_12_20_17_28_15_504.jpg;-10.98102;1;0;1.327701;100.258;86.79161;0.8867627;58.56721;359.6979
C:\Users\Erik\RoboND-Python-StarterKit\Roversim_x86_64_Data\IMG\robocam_2018_12_20_17_28_15_554.jpg;-12.99244;1;0;1.359698;100.2903;86.83624;0.9120036;57.82379;359.722
C:\Users\Erik\RoboND-Python-StarterKit\Roversim_x86_64_Data\IMG\robocam_2018_12_20_17_28_15_603.jpg;-13.95471;1;0;1.403629;100.342;86.90356;0.9536949;56.52088;359.7349
C:\Users\Erik\RoboND-Python-StarterKit\Roversim_x86_64_Data\IMG\robocam_2018_12_20_17_28_15_654.jpg;-15;1;0;1.433433;100.3783;86.94879;0.9784476;55.58537;359.7404
C:\Users\Erik\RoboND-Python-StarterKit\Roversim_x86_64_Data\IMG\robocam_2018_12_20_17_28_15_704.jpg;-15;1;0;1.478413;100.4353;87.017;0.9939923;54.13116;359.7593
C:\Users\Erik\RoboND-Python-StarterKit\Roversim_x86_64_Data\IMG\robocam_2018_12_20_17_28_15_754.jpg;-15;1;0;1.508626;100.4753;87.06272;1.002444;53.14399;359.7647
C:\Users\Erik\RoboND-Python-StarterKit\Roversim_x86_64_Data\IMG\robocam_2018_12_20_17_28_15_804.jpg;-15;1;0;1.553031;100.5381;87.13165;1.008767;51.63736;359.7691
C:\Users\Erik\RoboND-Python-StarterKit\Roversim_x86_64_Data\IMG\robocam_2018_12_20_17_28_15_854.jpg;-15;1;0;1.583197;100.5819;87.17773;1.007906;50.61636;359.7685
C:\Users\Erik\RoboND-Python-StarterKit\Roversim_x86_64_Data\IMG\robocam_2018_12_20_17_28_15_904.jpg;-15;1;0;1.627717;100.6507;87.24693;1.003238;49.05789;359.7564
C:\Users\Erik\RoboND-Python-StarterKit\Roversim_x86_64_Data\IMG\robocam_2018_12_20_17_28_15_954.jpg;-15;1;0;1.656754;100.6983;87.29303;0.9905311;48.00443;359.7494
C:\Users\Erik\RoboND-Python-StarterKit\Roversim_x86_64_Data\IMG\robocam_2018_12_20_17_28_16_004.jpg;-15;1;0;1.701457;100.773;87.36194;0.9661546;46.39944;359.7264
C:\Users\Erik\RoboND-Python-StarterKit\Roversim_x86_64_Data\IMG\robocam_2018_12_20_17_28_16_054.jpg;-15;1;0;1.730774;100.8249;87.40766;0.947668;45.3136;359.7028
C:\Users\Erik\RoboND-Python-StarterKit\Roversim_x86_64_Data\IMG\robocam_2018_12_20_17_28_16_103.jpg;-15;1;0;1.774018;100.9057;87.47578;0.9062396;43.66431;359.6663
C:\Users\Erik\RoboND-Python-StarterKit\Roversim_x86_64_Data\IMG\robocam_2018_12_20_17_28_16_154.jpg;-15;1;0;1.803006;100.9617;87.52076;0.8730161;42.55071;359.6362
C:\Users\Erik\RoboND-Python-StarterKit\Roversim_x86_64_Data\IMG\robocam_2018_12_20_17_28_16_203.jpg;-15;1;0;1.846354;101.0487;87.58746;0.8130463;40.86014;359.5857
C:\Users\Erik\RoboND-Python-StarterKit\Roversim_x86_64_Data\IMG\robocam_2018_12_20_17_28_16_254.jpg;-15;1;0;1.875;101.1089;87.63131;0.7698107;39.72015;359.545
C:\Users\Erik\RoboND-Python-StarterKit\Roversim_x86_64_Data\IMG\robocam_2018_12_20_17_28_16_304.jpg;-15;1;0;1.917791;101.2022;87.69605;0.6942076;37.9915;359.4818
C:\Users\Erik\RoboND-Python-StarterKit\Roversim_x86_64_Data\IMG\robocam_2018_12_20_17_28_16_353.jpg;15;1;0;1.946724;101.2639;87.7414;0.6341159;37.39299;359.5118
C:\Users\Erik\RoboND-Python-StarterKit\Roversim_x86_64_Data\IMG\robocam_2018_12_20_17_28_16_404.jpg;15;1;0;1.950185;101.3495;87.81966;0.5489113;38.71457;359.8015
C:\Users\Erik\RoboND-Python-StarterKit\Roversim_x86_64_Data\IMG\robocam_2018_12_20_17_28_16_453.jpg;15;1;0;1.97456;101.4066;87.87453;0.5318777;39.85847;0.02785637
C:\Users\Erik\RoboND-Python-StarterKit\Roversim_x86_64_Data\IMG\robocam_2018_12_20_17_28_16_502.jpg;15;1;0;2.01338;101.4637;87.93156;0.548835;41.04921;0.2757638
C:\Users\Erik\RoboND-Python-StarterKit\Roversim_x86_64_Data\IMG\robocam_2018_12_20_17_28_16_553.jpg;15;1;0;2.040099;101.5492;88.01962;0.564656;42.84715;0.6135805
C:\Users\Erik\RoboND-Python-StarterKit\Roversim_x86_64_Data\IMG\robocam_2018_12_20_17_28_16_602.jpg;15;1;0;2.075245;101.6055;88.07997;0.5560276;44.05629;0.8124814
C:\Users\Erik\RoboND-Python-StarterKit\Roversim_x86_64_Data\IMG\robocam_2018_12_20_17_28_16_653.jpg;15;1;0;2.094701;101.6877;88.17124;0.4118282;45.88887;1.003525
C:\Users\Erik\RoboND-Python-StarterKit\Roversim_x86_64_Data\IMG\robocam_2018_12_20_17_28_16_702.jpg;15;1;0;2.123821;101.7405;88.23302;0.2312865;47.10728;1.076306
